experiment,disturbance,accuracy,rmsq,failed
jane_stabs_mark_with_knife,0,0.8333333333333334,0.1666670009681758,0.0
jane_stabs_mark_with_knife,0.001,0.8333333333333334,0.17333333312223362,0.0
jane_stabs_mark_with_knife,0.01,0.8333333333333334,0.17333333312223362,0.0
jane_stabs_mark_with_knife,0.025,0.8333333333333334,0.17333333312223362,0.0
jane_stabs_mark_with_knife,0.05,0.8333333333333334,0.17333333312223362,0.0
jane_stabs_mark_with_knife,0.1,0.8333333333333334,0.17333333312223362,0.0
jane_stabs_mark_with_knife,0.125,0.8333333333333334,0.17333333312223362,0.0
jane_stabs_mark_with_knife,0.2,0.8333333333333334,0.17333333312223362,0.0
jane_stabs_mark_with_knife,0.25,0.8333333333333334,0.17333333312223362,0.0
jane_stabs_mark_with_knife,0.33,0.8333333333333334,0.17333333312223362,0.0
jane_stabs_mark_with_knife,0.5,1.0,0.17333333312223356,0.0
