experiment,disturbance,accuracy,rmsq,failed
mark_dies_by_accident,0,0.49101796407185627,0.5089479224391424,0.0
mark_dies_by_accident,0.001,0.4930139720558882,0.5068996222789541,0.0
mark_dies_by_accident,0.01,0.4930139720558882,0.507102744470837,0.0
mark_dies_by_accident,0.025,0.4930139720558882,0.5070860813578609,0.0
mark_dies_by_accident,0.05,0.4930139720558882,0.5071087694956078,0.0
mark_dies_by_accident,0.1,0.4930139720558882,0.5071087694953046,0.0
mark_dies_by_accident,0.125,0.4930139720558882,0.5071757869028937,0.0
mark_dies_by_accident,0.2,0.4930139720558882,0.5071389988074269,0.0
mark_dies_by_accident,0.25,0.4930139720558882,0.5071724302909518,0.0
mark_dies_by_accident,0.33,0.4930139720558882,0.5072197601884416,0.0
mark_dies_by_accident,0.5,0.4930139720558882,0.5068948709841572,0.0
