experiment,disturbance,accuracy,rmsq,failed
mark_dies_by_accident,0,0.9090909090909091,0.09246280527178677,0.0
mark_dies_by_accident,0.001,0.8181818181818182,0.18575356711308916,0.0
mark_dies_by_accident,0.01,0.8181818181818182,0.17650227455551637,0.0
mark_dies_by_accident,0.025,0.8181818181818182,0.17726120361008693,0.0
mark_dies_by_accident,0.05,0.8181818181818182,0.17622786206367805,0.0
mark_dies_by_accident,0.1,0.8181818181818182,0.1762278620774933,0.0
mark_dies_by_accident,0.125,0.8181818181818182,0.17317552378638884,0.0
mark_dies_by_accident,0.2,0.8181818181818182,0.17485105431628784,0.0
mark_dies_by_accident,0.25,0.8181818181818182,0.17332840220300616,0.0
mark_dies_by_accident,0.33,0.8181818181818182,0.17117274050825126,0.0
mark_dies_by_accident,0.5,0.8181818181818182,0.18596996699429677,0.0
