evidence,posterior,posterior_name,param_num,param_name
No evidence,0.17,stealing_1_0,map,25
"('E_camera_1', 1)",0.17,stealing_1_0,map,25
"('E_object_gone_0', 1)",0.53,stealing_1_0,map,25
"('E_psych_report_1_0', 1)",0.95,stealing_1_0,map,25
"('E_camera_sees_object_1_0', 1)",1.0,stealing_1_0,map,25
