distortion,param,strong,noise,evidenceCUMUL,hypNode,Probability,K2Probability,accuracy,rms,Game
arbitraryRounded,0.25,weak,0,E_0_says_stolen1,agent_steals,H0,0.21,0.4,0.358,basicGame
arbitraryRounded,0.25,weak,0,E_1_says_stolen1,agent_steals,H1,0.64,0.4,0.358,basicGame
arbitraryRounded,0.25,weak,0,E_2_says_stolen1,agent_steals,H1,0.86,0.4,0.358,basicGame
arbitraryRounded,0.25,weak,0,E_3_says_stolen1,agent_steals,H1,0.55,0.4,0.358,basicGame
arbitraryRounded,0.25,strong,0,no_evidence0,agent_steals,0.5,0.58,0.4,0.358,basicGame
arbitraryRounded,0.25,strong,0,E_0_says_stolen1,agent_steals,0.25,0.21,0.4,0.358,basicGame
arbitraryRounded,0.25,strong,0,E_1_says_stolen1,agent_steals,1.0,0.64,0.4,0.358,basicGame
arbitraryRounded,0.25,strong,0,E_2_says_stolen1,agent_steals,1.0,0.86,0.4,0.358,basicGame
arbitraryRounded,0.25,strong,0,E_3_says_stolen1,agent_steals,1.0,0.55,0.4,0.358,basicGame
arbitraryRounded,0.33,weak,0,no_evidence0,agent_steals,H1,0.58,0.4,0.425,basicGame
arbitraryRounded,0.33,weak,0,E_0_says_stolen1,agent_steals,H0,0.21,0.4,0.425,basicGame
arbitraryRounded,0.33,weak,0,E_1_says_stolen1,agent_steals,NA,0.64,0.4,0.425,basicGame
arbitraryRounded,0.33,weak,0,E_2_says_stolen1,agent_steals,NA,0.86,0.4,0.425,basicGame
arbitraryRounded,0.33,weak,0,E_3_says_stolen1,agent_steals,NA,0.55,0.4,0.425,basicGame
arbitraryRounded,0.33,strong,0,no_evidence0,agent_steals,0.67,0.58,0.4,0.425,basicGame
arbitraryRounded,0.33,strong,0,E_0_says_stolen1,agent_steals,0.0,0.21,0.4,0.425,basicGame
arbitraryRounded,0.33,strong,0,E_1_says_stolen1,agent_steals,NA,0.64,0.4,0.425,basicGame
arbitraryRounded,0.33,strong,0,E_2_says_stolen1,agent_steals,NA,0.86,0.4,0.425,basicGame
arbitraryRounded,0.33,strong,0,E_3_says_stolen1,agent_steals,NA,0.55,0.4,0.425,basicGame
arbitraryRounded,0.5,weak,0,no_evidence0,agent_steals,0,0.58,0.5,0.5,basicGame
arbitraryRounded,0.5,weak,0,E_0_says_stolen1,agent_steals,H0,0.21,0.5,0.5,basicGame
arbitraryRounded,0.5,weak,0,E_1_says_stolen1,agent_steals,NA,0.64,0.5,0.5,basicGame
arbitraryRounded,0.5,weak,0,E_2_says_stolen1,agent_steals,NA,0.86,0.5,0.5,basicGame
arbitraryRounded,0.5,weak,0,E_3_says_stolen1,agent_steals,NA,0.55,0.5,0.5,basicGame
arbitraryRounded,0.5,strong,0,no_evidence0,agent_steals,0.5,0.58,0.5,0.5,basicGame
arbitraryRounded,0.5,strong,0,E_0_says_stolen1,agent_steals,0.0,0.21,0.5,0.5,basicGame
arbitraryRounded,0.5,strong,0,E_1_says_stolen1,agent_steals,NA,0.64,0.5,0.5,basicGame
arbitraryRounded,0.5,strong,0,E_2_says_stolen1,agent_steals,NA,0.86,0.5,0.5,basicGame
arbitraryRounded,0.5,strong,0,E_3_says_stolen1,agent_steals,NA,0.55,0.5,0.5,basicGame
