evidence,posterior,posterior_name,param_num,param_name
No evidence,0.25,mark_dies,arbit,0.5
"('E_neighbor', 1)",0.25,mark_dies,arbit,0.5
"('E_prints', 1)",0.49,mark_dies,arbit,0.5
"('E_stab_wounds', 1)",0.5,mark_dies,arbit,0.5
"('E_forensic', 1)",0.99,mark_dies,arbit,0.5
