experiment,disturbance,accuracy,rmsq,failed
StolenLaptop,0,0.8787878787878788,0.14357934503533795,0.0
StolenLaptop,0.001,0.8787878787878788,0.15130616035038272,0.0
StolenLaptop,0.01,0.8787878787878788,0.15283523949542224,0.0
StolenLaptop,0.025,0.8787878787878788,0.1524785928280534,0.0
StolenLaptop,0.05,0.8787878787878788,0.1540352812775567,0.0
StolenLaptop,0.1,0.8787878787878788,0.15437844723139457,0.0
StolenLaptop,0.125,0.8787878787878788,0.15094914297601475,0.0
StolenLaptop,0.2,0.8787878787878788,0.14061427342122484,0.0
StolenLaptop,0.25,0.8787878787878788,0.14765317429992994,0.0
StolenLaptop,0.33,0.8787878787878788,0.13927703022264853,0.0
StolenLaptop,0.5,0.8787878787878788,0.19716547142110452,0.0
