experiment,disturbance,accuracy,rmsq,failed
E_private,0,0.8787878787878788,0.1435793450353379,0.0
E_private,0.001,0.8787878787878788,0.151306160350382,0.0
E_private,0.01,0.8787878787878788,0.15283523949542238,0.0
E_private,0.025,0.8787878787878788,0.15247859282805312,0.0
E_private,0.05,0.8787878787878788,0.15403528127755695,0.0
E_private,0.1,0.8787878787878788,0.15437844723139454,0.0
E_private,0.125,0.8787878787878788,0.1509491429760108,0.0
E_private,0.2,0.8787878787878788,0.14061427342122462,0.0
E_private,0.25,0.8787878787878788,0.14765317429992963,0.0
E_private,0.33,0.8787878787878788,0.1392770302226507,0.0
E_private,0.5,0.8787878787878788,0.1971654714211154,0.0
