distortion,param,strong,noise,evidenceCUMUL,hypNode,Probability,K2Probability
arbitraryRounded,0.2,weak,0,E_disturbed_house1,lost_object,NA,0.0
arbitraryRounded,0.2,weak,0,E_disturbed_house1,successful_stolen,NA,0.65
arbitraryRounded,0.2,weak,0,E_s_spotted_by_house1,lost_object,NA,0.0
arbitraryRounded,0.2,weak,0,E_s_spotted_by_house1,successful_stolen,NA,0.65
arbitraryRounded,0.2,weak,0,E_s_spotted_with_goodie1,lost_object,NA,0.0
arbitraryRounded,0.2,weak,0,E_s_spotted_with_goodie1,successful_stolen,NA,0.65
arbitraryRounded,0.2,weak,0,E_private0,lost_object,NA,0.0
arbitraryRounded,0.2,weak,0,E_private0,successful_stolen,NA,1.0
arbitraryRounded,0.2,strong,0,no_evidence0,lost_object,0.2,0.2
arbitraryRounded,0.2,strong,0,no_evidence0,successful_stolen,0.0,0.06
arbitraryRounded,0.2,strong,0,E_object_is_gone1,lost_object,1.0,0.69
arbitraryRounded,0.2,strong,0,E_object_is_gone1,successful_stolen,0.0,0.2
arbitraryRounded,0.2,strong,0,E_broken_lock1,lost_object,NA,0.0
arbitraryRounded,0.2,strong,0,E_broken_lock1,successful_stolen,NA,0.65
arbitraryRounded,0.2,strong,0,E_disturbed_house1,lost_object,NA,0.0
arbitraryRounded,0.2,strong,0,E_disturbed_house1,successful_stolen,NA,0.65
arbitraryRounded,0.2,strong,0,E_s_spotted_by_house1,lost_object,NA,0.0
arbitraryRounded,0.2,strong,0,E_s_spotted_by_house1,successful_stolen,NA,0.65
arbitraryRounded,0.2,strong,0,E_s_spotted_with_goodie1,lost_object,NA,0.0
arbitraryRounded,0.2,strong,0,E_s_spotted_with_goodie1,successful_stolen,NA,0.65
arbitraryRounded,0.2,strong,0,E_private0,lost_object,NA,0.0
arbitraryRounded,0.2,strong,0,E_private0,successful_stolen,NA,1.0
arbitraryRounded,0.25,weak,0,no_evidence0,lost_object,H0,0.2
arbitraryRounded,0.25,weak,0,no_evidence0,successful_stolen,H0,0.06
arbitraryRounded,0.25,weak,0,E_object_is_gone1,lost_object,H1,0.69
arbitraryRounded,0.25,weak,0,E_object_is_gone1,successful_stolen,H0,0.2
arbitraryRounded,0.25,weak,0,E_broken_lock1,lost_object,NA,0.0
arbitraryRounded,0.25,weak,0,E_broken_lock1,successful_stolen,NA,0.65
arbitraryRounded,0.25,weak,0,E_disturbed_house1,lost_object,NA,0.0
arbitraryRounded,0.25,weak,0,E_disturbed_house1,successful_stolen,NA,0.65
arbitraryRounded,0.25,weak,0,E_s_spotted_by_house1,lost_object,NA,0.0
arbitraryRounded,0.25,weak,0,E_s_spotted_by_house1,successful_stolen,NA,0.65
arbitraryRounded,0.25,weak,0,E_s_spotted_with_goodie1,lost_object,NA,0.0
arbitraryRounded,0.25,weak,0,E_s_spotted_with_goodie1,successful_stolen,NA,0.65
arbitraryRounded,0.25,weak,0,E_private0,lost_object,NA,0.0
arbitraryRounded,0.25,weak,0,E_private0,successful_stolen,NA,1.0
arbitraryRounded,0.25,strong,0,no_evidence0,lost_object,0.25,0.2
arbitraryRounded,0.25,strong,0,no_evidence0,successful_stolen,0.0,0.06
arbitraryRounded,0.25,strong,0,E_object_is_gone1,lost_object,1.0,0.69
arbitraryRounded,0.25,strong,0,E_object_is_gone1,successful_stolen,0.0,0.2
arbitraryRounded,0.25,strong,0,E_broken_lock1,lost_object,NA,0.0
arbitraryRounded,0.25,strong,0,E_broken_lock1,successful_stolen,NA,0.65
arbitraryRounded,0.25,strong,0,E_disturbed_house1,lost_object,NA,0.0
arbitraryRounded,0.25,strong,0,E_disturbed_house1,successful_stolen,NA,0.65
arbitraryRounded,0.25,strong,0,E_s_spotted_by_house1,lost_object,NA,0.0
arbitraryRounded,0.25,strong,0,E_s_spotted_by_house1,successful_stolen,NA,0.65
arbitraryRounded,0.25,strong,0,E_s_spotted_with_goodie1,lost_object,NA,0.0
arbitraryRounded,0.25,strong,0,E_s_spotted_with_goodie1,successful_stolen,NA,0.65
arbitraryRounded,0.25,strong,0,E_private0,lost_object,NA,0.0
arbitraryRounded,0.25,strong,0,E_private0,successful_stolen,NA,1.0
arbitraryRounded,0.33,weak,0,no_evidence0,lost_object,H0,0.2
arbitraryRounded,0.33,weak,0,no_evidence0,successful_stolen,H0,0.06
arbitraryRounded,0.33,weak,0,E_object_is_gone1,lost_object,H1,0.69
arbitraryRounded,0.33,weak,0,E_object_is_gone1,successful_stolen,H0,0.2
arbitraryRounded,0.33,weak,0,E_broken_lock1,lost_object,NA,0.0
arbitraryRounded,0.33,weak,0,E_broken_lock1,successful_stolen,NA,0.65
arbitraryRounded,0.33,weak,0,E_disturbed_house1,lost_object,NA,0.0
arbitraryRounded,0.33,weak,0,E_disturbed_house1,successful_stolen,NA,0.65
arbitraryRounded,0.33,weak,0,E_s_spotted_by_house1,lost_object,NA,0.0
arbitraryRounded,0.33,weak,0,E_s_spotted_by_house1,successful_stolen,NA,0.65
arbitraryRounded,0.33,weak,0,E_s_spotted_with_goodie1,lost_object,NA,0.0
arbitraryRounded,0.33,weak,0,E_s_spotted_with_goodie1,successful_stolen,NA,0.65
arbitraryRounded,0.33,weak,0,E_private0,lost_object,NA,0.0
arbitraryRounded,0.33,weak,0,E_private0,successful_stolen,NA,1.0
arbitraryRounded,0.33,strong,0,no_evidence0,lost_object,0.33,0.2
arbitraryRounded,0.33,strong,0,no_evidence0,successful_stolen,0.0,0.06
arbitraryRounded,0.33,strong,0,E_object_is_gone1,lost_object,1.0,0.69
arbitraryRounded,0.33,strong,0,E_object_is_gone1,successful_stolen,0.0,0.2
arbitraryRounded,0.33,strong,0,E_broken_lock1,lost_object,NA,0.0
arbitraryRounded,0.33,strong,0,E_broken_lock1,successful_stolen,NA,0.65
arbitraryRounded,0.33,strong,0,E_disturbed_house1,lost_object,NA,0.0
arbitraryRounded,0.33,strong,0,E_disturbed_house1,successful_stolen,NA,0.65
arbitraryRounded,0.33,strong,0,E_s_spotted_by_house1,lost_object,NA,0.0
arbitraryRounded,0.33,strong,0,E_s_spotted_by_house1,successful_stolen,NA,0.65
arbitraryRounded,0.33,strong,0,E_s_spotted_with_goodie1,lost_object,NA,0.0
arbitraryRounded,0.33,strong,0,E_s_spotted_with_goodie1,successful_stolen,NA,0.65
arbitraryRounded,0.33,strong,0,E_private0,lost_object,NA,0.0
arbitraryRounded,0.33,strong,0,E_private0,successful_stolen,NA,1.0
arbitraryRounded,0.5,weak,0,no_evidence0,lost_object,H0,0.2
arbitraryRounded,0.5,weak,0,no_evidence0,successful_stolen,H0,0.06
arbitraryRounded,0.5,weak,0,E_object_is_gone1,lost_object,NA,0.69
arbitraryRounded,0.5,weak,0,E_object_is_gone1,successful_stolen,NA,0.2
arbitraryRounded,0.5,weak,0,E_broken_lock1,lost_object,NA,0.0
arbitraryRounded,0.5,weak,0,E_broken_lock1,successful_stolen,NA,0.65
arbitraryRounded,0.5,weak,0,E_disturbed_house1,lost_object,NA,0.0
arbitraryRounded,0.5,weak,0,E_disturbed_house1,successful_stolen,NA,0.65
arbitraryRounded,0.5,weak,0,E_s_spotted_by_house1,lost_object,NA,0.0
arbitraryRounded,0.5,weak,0,E_s_spotted_by_house1,successful_stolen,NA,0.65
arbitraryRounded,0.5,weak,0,E_s_spotted_with_goodie1,lost_object,NA,0.0
arbitraryRounded,0.5,weak,0,E_s_spotted_with_goodie1,successful_stolen,NA,0.65
arbitraryRounded,0.5,weak,0,E_private0,lost_object,NA,0.0
arbitraryRounded,0.5,weak,0,E_private0,successful_stolen,NA,1.0
arbitraryRounded,0.5,strong,0,no_evidence0,lost_object,0.0,0.2
arbitraryRounded,0.5,strong,0,no_evidence0,successful_stolen,0.0,0.06
arbitraryRounded,0.5,strong,0,E_object_is_gone1,lost_object,NA,0.69
arbitraryRounded,0.5,strong,0,E_object_is_gone1,successful_stolen,NA,0.2
arbitraryRounded,0.5,strong,0,E_broken_lock1,lost_object,NA,0.0
arbitraryRounded,0.5,strong,0,E_broken_lock1,successful_stolen,NA,0.65
arbitraryRounded,0.5,strong,0,E_disturbed_house1,lost_object,NA,0.0
arbitraryRounded,0.5,strong,0,E_disturbed_house1,successful_stolen,NA,0.65
arbitraryRounded,0.5,strong,0,E_s_spotted_by_house1,lost_object,NA,0.0
arbitraryRounded,0.5,strong,0,E_s_spotted_by_house1,successful_stolen,NA,0.65
arbitraryRounded,0.5,strong,0,E_s_spotted_with_goodie1,lost_object,NA,0.0
arbitraryRounded,0.5,strong,0,E_s_spotted_with_goodie1,successful_stolen,NA,0.65
arbitraryRounded,0.5,strong,0,E_private0,lost_object,NA,0.0
arbitraryRounded,0.5,strong,0,E_private0,successful_stolen,NA,1.0
