evidence,posterior,posterior_name,param_num,param_name
No evidence,0.0,successful_stolen,arbit,0.5
"('E_object_is_gone', 1)",NA,successful_stolen,arbit,0.5
"('E_broken_lock', 1)",NA,successful_stolen,arbit,0.5
"('E_disturbed_house', 1)",NA,successful_stolen,arbit,0.5
"('E_s_spotted_by_house', 1)",NA,successful_stolen,arbit,0.5
"('E_s_spotted_with_goodie', 1)",NA,successful_stolen,arbit,0.5
