experiment,disturbance,accuracy,rmsq,failed
KBFull,0,0.8181818181818182,0.1987270753593533,0.0
KBFull,0.001,0.8181818181818182,0.19774280094459876,0.0
KBFull,0.01,0.0,0.0,1.0
KBFull,0.025,0.0,0.0,1.0
KBFull,0.05,0.0,0.0,1.0
KBFull,0.1,0.0,0.0,1.0
KBFull,0.125,0.0,0.0,1.0
KBFull,0.2,0.0,0.0,1.0
KBFull,0.25,0.0,0.0,1.0
KBFull,0.33,0.0,0.0,1.0
KBFull,0.5,0.0,0.0,1.0
