distortion,param,strong,noise,evidenceCUMUL,hypNode,Probability,K2Probability
K2,0,strong,0,E_s_spotted_by_house1,raining,0.49,0.49
K2,0,strong,0,E_s_spotted_by_house1,curtains,0.09,0.09
K2,0,strong,0,E_private0,lost_object,0.8,0.8
K2,0,strong,0,E_private0,know_object,0.21,0.21
K2,0,strong,0,E_private0,target_object,0.2,0.2
K2,0,strong,0,E_private0,motive,0.2,0.2
K2,0,strong,0,E_private0,compromise_house,0.2,0.2
K2,0,strong,0,E_private0,flees_startled,0.0,0.0
K2,0,strong,0,E_private0,successful_stolen,0.2,0.2
K2,0,strong,0,E_private0,raining,0.49,0.49
K2,0,strong,0,E_private0,curtains,0.11,0.11
K2,0,strong,0,E_s_spotted_with_goodie1,lost_object,0.0,0.0
K2,0,strong,0,E_s_spotted_with_goodie1,know_object,0.99,0.99
K2,0,strong,0,E_s_spotted_with_goodie1,target_object,0.99,0.99
K2,0,strong,0,E_s_spotted_with_goodie1,motive,0.99,0.99
K2,0,strong,0,E_s_spotted_with_goodie1,compromise_house,1.0,1.0
K2,0,strong,0,E_s_spotted_with_goodie1,flees_startled,0.02,0.02
K2,0,strong,0,E_s_spotted_with_goodie1,successful_stolen,0.98,0.98
K2,0,strong,0,E_s_spotted_with_goodie1,raining,0.49,0.49
K2,0,strong,0,E_s_spotted_with_goodie1,curtains,0.0,0.0
K2,0,strong,0,E_broken_lock1,lost_object,0.0,0.0
K2,0,strong,0,E_broken_lock1,know_object,1.0,1.0
K2,0,strong,0,E_broken_lock1,target_object,0.99,0.99
K2,0,strong,0,E_broken_lock1,motive,0.99,0.99
K2,0,strong,0,E_broken_lock1,compromise_house,1.0,1.0
K2,0,strong,0,E_broken_lock1,flees_startled,0.02,0.02
K2,0,strong,0,E_broken_lock1,successful_stolen,0.98,0.98
K2,0,strong,0,E_broken_lock1,raining,0.49,0.49
K2,0,strong,0,E_broken_lock1,curtains,0.0,0.0
K2,0,strong,0,E_disturbed_house1,lost_object,0.0,0.0
K2,0,strong,0,E_disturbed_house1,know_object,1.0,1.0
K2,0,strong,0,E_disturbed_house1,target_object,0.99,0.99
K2,0,strong,0,E_disturbed_house1,motive,0.99,0.99
K2,0,strong,0,E_disturbed_house1,compromise_house,1.0,1.0
K2,0,strong,0,E_disturbed_house1,flees_startled,0.02,0.02
K2,0,strong,0,E_disturbed_house1,successful_stolen,0.98,0.98
K2,0,strong,0,E_disturbed_house1,raining,0.49,0.49
K2,0,strong,0,E_disturbed_house1,curtains,0.0,0.0
