precision,names,state,posterior,accuracy,rmsq
0.01,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 0, 0, 1, 1, 1)",0.9802000006206333,1,0.019799999379366717
0.01,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 1, 1, 0, 0)",0.01089999966705776,1,0.01089999966705776
0.01,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 0, 1, 0, 0)",0.010899999667057762,1,0.010899999667057762
0.01,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 1, 0, 1, 0, 1)",0.010899999667057762,1,0.010899999667057762
0.01,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 0, 0, 1, 0, 0)",0.01089999966705776,1,0.01089999966705776
0.01,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 1, 0, 1, 0, 1)",0.010899999667057762,1,0.010899999667057762
0.01,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 1, 0, 0)",0.01089999966705776,1,0.01089999966705776
0.01,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 0, 0, 0)",0.01089999966705776,1,0.01089999966705776
precision,names,state,posterior,accuracy,rmsq
0.025,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 0, 1, 1, 1, 1)",0.9655000005289911,1,0.0344999994710089
0.025,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 0, 0, 1, 1, 1)",0.9655000005289911,1,0.0344999994710089
0.025,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 1, 1, 0, 0)",0.01224999969397906,1,0.01224999969397906
0.025,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 0, 1, 0, 0)",0.012249999693979052,1,0.012249999693979052
0.025,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 1, 0, 1, 0, 1)",0.01224999969397906,1,0.01224999969397906
0.025,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 0, 0, 1, 0, 0)",0.012249999693979052,1,0.012249999693979052
0.025,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 1, 0, 1, 0, 1)",0.012249999693979052,1,0.012249999693979052
0.025,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 1, 0, 0)",0.012249999693979052,1,0.012249999693979052
0.025,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 0, 0, 0)",0.012249999693979052,1,0.012249999693979052
