evidence,posterior,posterior_name,param_num,param_name
No evidence,0.01,mark_dies,arbit,0.2
"('jane_and_mark_fight', 1)",0.01,mark_dies,arbit,0.2
"('jane_has_knife', 1)",0.02,mark_dies,arbit,0.2
"('jane_stabs_mark_with_knife', 0)",0.01,mark_dies,arbit,0.2
"('jane_threatens_mark_with_knife', 1)",0.5,mark_dies,arbit,0.2
"('mark_hits_jane', 1)",0.55,mark_dies,arbit,0.2
"('jane_drops_knife', 1)",0.75,mark_dies,arbit,0.2
"('mark_falls_on_knife', 0)",0.03,mark_dies,arbit,0.2
"('mark_dies_by_accident', 0)",0.03,mark_dies,arbit,0.2
